,S.no,State,Year ,Total Population,Male Population,Female Population,Total_Literacy in %,Males_Literacy in %,Females_Literacy in %,Total Literacy,Male Literacy,Female Literacy,Area in SQKM,Literacy Rate,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
400,401,Tripura,2012,3769740,1776297,1993443,78.58,87.87,69.1,2962262,1560832,1377469,"10,491",786,2001,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2801
401,402,Meghalaya,2012,2724169,1387630,1336539,67.54,71.34,63.82,1839904,989935,852979,"22,429",675,2001,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,1687
402,403,Assam,2012,31468062,15100189,16367873,68.58,77.58,59.19,21580797,11714727,9688144,"78,438",686,2001,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877
403,404,West Bengal,2012,94765607,44601091,50164516,73.85,83.68,63.62,69984401,37322193,31914665,"88,752",739,2001,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563
404,405,Jharkhand,2012,31788221,15736215,16052006,57.75,73.28,41.6,18357698,11531498,6677634,"79,716",578,2001,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,25447
405,406,Orissa,2012,43362039,4908965115,-4865603076,67.86,81.92,53.84,29425480,4021424222,-2619640696,155707,679,2001,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,46661
406,407,Chhatisgarh,2012,24566350,11866267,12700083,69.54,83.98,55.36,17083440,9965291,7030766,135192,695,2001,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,38460
407,408,Madhya Pradesh,2012,71333194,33230910,38102285,68.4,82.83,53.12,48791905,27525163,20239934,"308,252",684,2001,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741
408,409,Gujarat,2012,59770440,29391226,30379214,74.65,86.83,61.9,44618633,25520402,18804733,"196,024",746,2001,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,103419
409,410,Daman & Diu,2012,186716,123439,63277,86.51,95.35,74.34,161528,117699,47040,112,865,2001,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,239
410,411,Dadra & Nagar Haveli,2012,260420,125121,135299,64.04,79.08,45.41,166773,98946,61439,491,640,2001,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350
411,412,Maharashtra,2012,114293837,55125331,59168506,82.44,93.05,71.32,94223839,51294120,42198978,"307,713",824,2001,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,171233
412,413,Andhra Pradesh,2012,89457263,40446028,49011236,65.2,76.42,54.06,58326135,30908855,26495474,"162,975",652,2001,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,130089
413,414,Karnataka,2012,62294847,29156976,33137871,71.52,82.28,60.69,44553275,23990360,20111374,"191,791",715,2001,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,109098
414,415,Goa,2012,1587671,710920,876751,87.82,95.86,79.77,1394293,681488,699384,"3,702",878,2001,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,2341
415,416,Lakshadweep,2012,71581,31985,39597,93.37,100.47,86.16,66835,32135,34117,32,934,2001,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36
416,417,Kerala,2012,37611095,15899410,21711685,97.0,101.6,92.81,36482762,16153801,20150615,"38,863",970,2001,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,103847
417,418,Tamil Nadu,2012,73371796,33947265,39424531,78.38,88.8,68.19,57508814,30145171,26883588,"130,058",784,2001,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801
418,419,Pondicherry,2012,1150388,567746,582642,86.94,95.87,78.31,1000147,544298,456267,479,869,2001,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068
419,420,Andaman & Nicobar Islands*,2012,420857,198359,222498,86.61,92.83,79.54,364504,184137,176975,8249,866,2001,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,658
